img_path,text
./train/train_00001.png,골목미용실
./train/train_00002.png,한성부동산
./train/train_00003.png,홍라운지
./train/train_00004.png,모단걸응접실
./train/train_00005.png,씨앗양식
./train/train_00006.png,하정
./train/train_00007.png,미소한의원
./train/train_00008.png,화원
./train/train_00009.png,가구
./train/train_00010.png,백화점
./train/train_00011.png,마라훠궈
./train/train_00012.png,오로클래식
./train/train_00013.png,가츠반상
./train/train_00014.png,저온숙성 수제가츠 전문점
./train/train_00015.png,상산치과
./train/train_00016.png,유황오리
./train/train_00017.png,참숯불
./train/train_00018.png,하우림
./train/train_00019.png,자작나무
./train/train_00020.png,금강
./train/train_00021.png,포장
./train/train_00022.png,중기
./train/train_00023.png,조 헤어샵
./train/train_00024.png,까끄미 조아
./train/train_00025.png,영빈
./train/train_00026.png,케익하우스
./train/train_00027.png,활
./train/train_00028.png,부동산
./train/train_00029.png,문수로
./train/train_00030.png,선우약국
./train/train_00031.png,밀양
./train/train_00032.png,돼지국밥
./train/train_00033.png,세신
./train/train_00034.png,전기
./train/train_00035.png,피노키오
./train/train_00036.png,유경헤어
./train/train_00037.png,이진헤어
./train/train_00038.png,철거전문
./train/train_00039.png,성주자원
./train/train_00040.png,상상필립
./train/train_00041.png,스터디카페
./train/train_00042.png,빙
./train/train_00043.png,그레
./train/train_00044.png,마트
./train/train_00045.png,바로
./train/train_00046.png,머리
./train/train_00047.png,연
./train/train_00048.png,출
./train/train_00049.png,윤가네
./train/train_00050.png,멸치
./train/train_00051.png,국수
./train/train_00052.png,쿡키즈아카데미
./train/train_00053.png,예원건축디자인
./train/train_00054.png,월천공구철물
./train/train_00055.png,꽃장미
./train/train_00056.png,화원
./train/train_00057.png,주니어
./train/train_00058.png,천문스쿨
./train/train_00059.png,우동점
./train/train_00060.png,노래방
./train/train_00061.png,전설의 그집
./train/train_00062.png,나주옥
./train/train_00063.png,최고등급
./train/train_00064.png,드래곤보울
./train/train_00065.png,카페드아야
./train/train_00066.png,토탈숙녀복
./train/train_00067.png,오렌지
./train/train_00068.png,동창산업
./train/train_00069.png,심콜렉션
./train/train_00070.png,테
./train/train_00071.png,라피
./train/train_00072.png,내몸에약손
./train/train_00073.png,한강정밀
./train/train_00074.png,수노
./train/train_00075.png,윤탁오피스텔
./train/train_00076.png,바이린
./train/train_00077.png,취미는음악학원
./train/train_00078.png,노른자
./train/train_00079.png,프레임
./train/train_00080.png,수학
./train/train_00081.png,호수희망
./train/train_00082.png,공인중개사
./train/train_00083.png,바른아기반찬
./train/train_00084.png,진명학원
./train/train_00085.png,화인마취통증의학과
./train/train_00086.png,호정한문교실
./train/train_00087.png,토이크레인
./train/train_00088.png,상승인테리어
./train/train_00089.png,구구족
./train/train_00090.png,핸디맨닥터
./train/train_00091.png,옷
./train/train_00092.png,만드는집
./train/train_00093.png,혜
./train/train_00094.png,원
./train/train_00095.png,빌
./train/train_00096.png,민물장어
./train/train_00097.png,패밀리
./train/train_00098.png,꼬마김밥
./train/train_00099.png,신불당점
./train/train_00100.png,티니
./train/train_00101.png,타이마사지
./train/train_00102.png,감각더헤어
./train/train_00103.png,벽창호
./train/train_00104.png,금성
./train/train_00105.png,부동산
./train/train_00106.png,글로벌여행사
./train/train_00107.png,장쌤
./train/train_00108.png,공부방
./train/train_00109.png,임금님
./train/train_00110.png,돈까스
./train/train_00111.png,스나이퍼
./train/train_00112.png,상산관
./train/train_00113.png,탐나
./train/train_00114.png,노래연습장
./train/train_00115.png,에코푸드
./train/train_00116.png,자전거전용도로
./train/train_00117.png,주차금지
./train/train_00118.png,사
./train/train_00119.png,과나무
./train/train_00120.png,주현헤어
./train/train_00121.png,모현 축산계
./train/train_00122.png,호수미용실
./train/train_00123.png,오페라하우스
./train/train_00124.png,음악학원
./train/train_00125.png,과일
./train/train_00126.png,과일
./train/train_00127.png,야채
./train/train_00128.png,아이폰수리센터
./train/train_00129.png,애플케어샵
./train/train_00130.png,서현점
./train/train_00131.png,쉼
./train/train_00132.png,홍선생미술
./train/train_00133.png,한국야쿠르트
./train/train_00134.png,따뜻한치과
./train/train_00135.png,의원
./train/train_00136.png,행복포차
./train/train_00137.png,송도술상
./train/train_00138.png,이공타일상사
./train/train_00139.png,개나리
./train/train_00140.png,명강
./train/train_00141.png,기업
./train/train_00142.png,커
./train/train_00143.png,플
./train/train_00144.png,힐
./train/train_00145.png,현대
./train/train_00146.png,쉐르빌
./train/train_00147.png,피자수퍼
./train/train_00148.png,기타놀이
./train/train_00149.png,울산
./train/train_00150.png,기타 리페어샵
./train/train_00151.png,마포옥
./train/train_00152.png,소갈비
./train/train_00153.png,고객이
./train/train_00154.png,즐거운
./train/train_00155.png,약국
./train/train_00156.png,다온
./train/train_00157.png,스킨케어
./train/train_00158.png,세라믹
./train/train_00159.png,홍화루
./train/train_00160.png,실비수산식당
./train/train_00161.png,통큰
./train/train_00162.png,커피
./train/train_00163.png,스마트도서관
./train/train_00164.png,과천스마트타워
./train/train_00165.png,자야네
./train/train_00166.png,김밥
./train/train_00167.png,미장
./train/train_00168.png,나니뷰티
./train/train_00169.png,전문점
./train/train_00170.png,직화구이
./train/train_00171.png,참숯
./train/train_00172.png,서산
./train/train_00173.png,인력
./train/train_00174.png,일
./train/train_00175.png,드림
./train/train_00176.png,음악학원
./train/train_00177.png,곰스맥주
./train/train_00178.png,일신
